district,milking_cows_no,milking_buffaloes_no,cow_milk,buff_milk,total_milk_produced,area_(ha),prod_(mt),yield_kg/ha,laying_hen,laying_duck,hen_egg,duck_egg,total_egg,horses/asses,buff,mutton,chevon,pork_,chicken,duck_meat,total_meat,rabbit,sheeps_no,sheep_wool_produced,yak/nak/chauri,province
TAPLEJUNG,8123.0,4987.0,5389.0,4257.0,9645.0,0.0,0.0,0.0,15366.0,341.0,2420.0,25.0,2445.0,543.0,607.0,31.0,491.0,443.0,172.0,0.0,1744.0,506.0,5777.0,3519.0,3465.0,Province 1
PANCHTHAR,14854.0,11331.0,8511.0,9835.0,18346.0,0.0,0.0,0.0,63779.0,261.0,5581.0,19.0,5600.0,15.0,1496.0,4.0,940.0,730.0,248.0,1.0,3419.0,29.0,1338.0,994.0,1075.0,Province 1
TERHATHUM,18880.0,13276.0,10089.0,11500.0,21589.0,0.0,0.0,0.0,26030.0,514.0,3000.0,39.0,3039.0,0.0,2358.0,24.0,399.0,486.0,116.0,1.0,3384.0,206.0,7083.0,5262.0,0.0,Province 1
DHANKUTA,12523.0,5391.0,8176.0,4579.0,12755.0,0.0,0.0,0.0,120878.0,1400.0,1878.0,109.0,1987.0,0.0,1521.0,2.0,405.0,462.0,471.0,2.0,2863.0,213.0,577.0,324.0,0.0,Province 1
BHOJPUR,14103.0,16342.0,7324.0,14184.0,21508.0,0.0,0.0,0.0,53957.0,1136.0,4037.0,88.0,4125.0,168.0,1251.0,51.0,313.0,919.0,251.0,2.0,2787.0,42.0,18210.0,13530.0,887.0,Province 1
KHOTANG,12998.0,19501.0,7105.0,12275.0,19380.0,0.0,0.0,0.0,50271.0,354.0,4310.0,27.0,4337.0,350.0,1997.0,31.0,442.0,705.0,310.0,1.0,3486.0,100.0,9156.0,5925.0,350.0,Province 1
OKHALDHUNGA,7930.0,11693.0,4555.0,5516.0,10071.0,0.0,0.0,0.0,59344.0,445.0,3296.0,33.0,3329.0,102.0,1497.0,31.0,685.0,751.0,294.0,0.0,3258.0,645.0,9105.0,6756.0,675.0,Province 1
UDAYAPUR,15867.0,26138.0,9092.0,22687.0,31779.0,0.0,0.0,0.0,148326.0,1474.0,50120.0,116.0,50236.0,1302.0,3346.0,2.0,1430.0,818.0,578.0,2.0,6176.0,1217.0,609.0,452.0,0.0,Province 1
SAPTARI,31790.0,41650.0,16654.0,25228.0,41882.0,0.0,0.0,0.0,158952.0,13498.0,18082.0,1060.0,19142.0,0.0,3867.0,7.0,2200.0,360.0,1301.0,15.0,7750.0,0.0,2033.0,1510.0,0.0,Province 2
SIRAHA,12434.0,23745.0,8125.0,25624.0,33749.0,0.0,0.0,0.0,196437.0,3200.0,17231.0,248.0,17479.0,0.0,3221.0,3.0,1286.0,308.0,809.0,4.0,5631.0,0.0,941.0,747.0,0.0,Province 2
DOLAKHA,12344.0,13805.0,5544.0,10155.0,15699.0,0.0,0.0,0.0,67464.0,1964.0,8040.0,155.0,8195.0,0.0,1704.0,40.0,576.0,117.0,210.0,2.0,2649.0,0.0,11809.0,8774.0,5053.0,Province 3
SINDHUPALCHOK,7183.0,16901.0,6567.0,18456.0,25023.0,0.0,0.0,0.0,151540.0,1184.0,7500.0,90.0,7590.0,0.0,2457.0,27.0,1047.0,209.0,784.0,1.0,4525.0,220.0,7956.0,5911.0,4540.0,Province 3
RASUWA,1853.0,1901.0,1062.0,1650.0,2712.0,0.0,0.0,0.0,13267.0,275.0,942.0,20.0,962.0,0.0,325.0,18.0,198.0,18.0,52.0,0.0,611.0,581.0,5335.0,3964.0,128.0,Province 3
SINDHULI,15745.0,14960.0,8024.0,5955.0,13979.0,0.0,0.0,0.0,102420.0,2265.0,7683.0,175.0,7858.0,0.0,2089.0,2.0,1003.0,367.0,792.0,2.0,4255.0,0.0,315.0,234.0,0.0,Province 3
BHAKTAPUR,3402.0,2164.0,3402.0,4494.0,7896.0,0.0,0.0,0.0,385908.0,2722.0,40781.0,214.0,40995.0,0.0,1013.0,9.0,175.0,212.0,647.0,3.0,2059.0,0.0,2588.0,1922.0,0.0,Province 3
LALITPUR,3319.0,8668.0,2202.0,12595.0,14797.0,0.0,0.0,0.0,267394.0,1701.0,32115.0,131.0,32246.0,0.0,1109.0,7.0,468.0,142.0,1953.0,2.0,3681.0,0.0,2164.0,1607.0,0.0,Province 3
KATHMANDU,6573.0,8553.0,4166.0,10867.0,15033.0,0.0,0.0,0.0,514691.0,2186.0,41065.0,168.0,41233.0,0.0,2289.0,10.0,801.0,292.0,2294.0,2.0,5688.0,2250.0,3075.0,2284.0,0.0,Province 3
